word,count,desc_count,fn_count,tier,source,example1,example2,example3
gunshot,2,2,0,mid,desc,"RECHARGE BIG Loud clank. Processed, muffled gunshot. Clank, sometimes springy.","Energy gunshot, indoors, short tail.",
disintegrates,2,2,0,old,desc,"Processed bubbles, gradually longer in length with slight rise in pitch as bubble disintegrates.",Short processed buzz disintegrates inwardly becoming sharp whoosh.,
reverbation,2,2,0,mid,desc,Gun shot type sound with subtle reverbation and artifacts.,"Time stretched, spectral synthesis with chorus and subtle reverbation..",
drenched,2,2,0,mid,desc,Pasta drenched endlessly in dish soap with crunch.,Pasta drenched slowly in dish soap with light crunch.,
brushing,2,2,0,new,desc,Swift brushing motion used to shuffle cards.,Brushing motion used to shuffle cards.,
lenghts,2,2,0,old,desc,HIT BLAST Dirty bass drop with different lenghts and modulation.,Electric bursts and sparks. Different lenghts starting with short versions,
fruit,2,1,1,new,both,Wooden fruit box cracking characterized by its sharp and splintering nature.,,
desperately,2,2,0,mid,desc,"Dog eating food desperately, munching away incessantly.",Small alien beast emitting high pitched screams and struggling desperately in water in long sequence. Loud pulse fired and beast lets out final vocali,
elongated,2,2,0,new,desc,Elongated spell sweep with magical texture and airy harmonic shimmer.,Elongated metallic whoosh with magical swirl and resonant motion.,
infinity,2,1,1,mid,both,"Beach ball stretched to infinity. Twisting, crunching.",,
fiddling,2,2,0,mid,desc,Medium sized metallic case latch loose fidgeting and fiddling elements.,Small sized metallic case latch loose fidgeting and fiddling elements.,
plopped,2,2,0,mid,desc,"Hand plopped into jelly, like suction of plunger.","Laser zaps quickly by observer and strikes surface, as if it has plopped on surface.",
sledge,2,1,1,new,both,Brief highlight reminiscent of the resonant chime of a sledge bell.,,
separate,2,2,0,mid,desc,"PROCESSED SCREECH LONG Continuous buzzing, with changing register. Separate, descending, and short fragments at the end.",Pulses blasted are modulated and break into separate ripples.,
concise,2,2,0,new,desc,Concise and short impact of a sharp metallic element.,"Clean, concise fall with a solid hit and deadweight drop.",
symbolizes,2,2,0,new,desc,Confirmative UI tick that symbolizes financial success or achievement.,Confirmative UI tick that symbolizes a colourful transformation.,
disrupted,2,1,1,new,both,"Brief and sudden whimsical explosion, characterised by the sound of cloth being explosively disrupted.",,
distances,2,2,0,old,desc,"Futuristic laser fire with spread burst, similar to in Star Wars through long distances of space.","Futuristic laser fire with spread burst, similar to in Star Wars through long distances of space. More harmonically rich and dense sound.",
iceberg,2,2,0,old,desc,"DESTRUCTION STRESS ICE LARGE Large iceberg under pressure. Calving glacier. Low rumble, soft squeaks and tearing cracks. Reverberant.",DESTRUCTION STRESS ICE LARGE Large iceberg under pressure. Calving glacier. Soft and near cracks. Explosive cracks and tails. Reverberant.,
samples,2,2,0,old,desc,"Stretched and synthesized samples with reverb. Ghostly swelling whoosh sounds, some tonal movement.",PUNCH SYNTHETIC OLDSCHOOL Heavy distorting hit. Processed drum samples.,
brakes,2,1,1,mid,both,Squealing and stuttering elements of an electric car brakes.,,
ding,2,2,0,old,desc,"Scaffold dropped on pavement, creating loud thud and high pitched ding.","SMALL LONG TONAL CLANG Sharp, upper mid clang, metallic ding, ping with high harmonic. Long decay.",
squelchy,2,1,1,new,both,Gritty thud with soaked detail and squelchy aftermath.,,
outer,2,1,1,mid,both,"Space laser weapon, outer world gunshots.",,
lasery,2,1,1,new,both,Rapid shots fired of futuristic weapon with lasery tail.,,
interval,2,1,1,old,both,INSTRUMENT GLOCKENSPIEL INTERVAL Playing two notes together. High.,,
ideal,2,2,0,new,desc,"Explosive punch packed with velocity and impact, ideal for high intensity martial arts scenes.",Dense body friction and scuffle textures ideal for tight grappling sequences.,
select,2,1,1,new,both,UI select element with a fragment-like quality.,,
stirrup,2,1,1,old,both,"Metal stirrup struck, producing tinny, high pitch, resonant clank.",,
remains,2,2,0,new,desc,Action of shaking a cup containing dice while the hand remains uncovered over the cup.,,
booklet,2,1,1,new,both,Gentle rustling and shifting as a booklet is handled or repositioned.,,
clamping,2,2,0,unknown,desc,"BIG LONG MECHANISM Clicking, snapping. Clamping down then releasing immediately. Metallic mid frequency resonance with medium decay.","SCRATCH SMALL CLICK High-frequency, clipping, clamping.",
dazzling,2,2,0,new,desc,Cartoon and dazzling star burst magical shimmer.,"Playful, dazzling blast scattering sparkles in magical delight.",
rummaging,2,2,0,mid,desc,Rummaging in a toolbox made of plastic.,Rummaging in a plastic box filled with screws.,
inserting,2,2,0,mid,desc,Inserting tray of a toolbox made of plastic.,Inserting the blade of a bow saw.,
chill,2,2,0,new,desc,"Bleak, hollow surge sweeping through with a cursed chill.",Frosty enchantment exhaling cursed snow and malignant chill.,
simulating,2,2,0,old,desc,Synthetic whoosh simulating doppler effect. Long duration.,Synthetic whoosh simulating doppler effect. Short duration.,
fireballs,2,2,0,old,desc,Short bursts of fireballs from roman candle flying into the air. Bright character.,Short bursts of fireballs from roman candle flying into the air.,
leafy,2,2,0,new,desc,Soft slap with leafy crunch texture and light decay.,Leafy tear with papery texture and soft crunch.,
pencils,2,1,1,new,both,Rattling movement of pencils as they drop onto a surface in a pile.,,
stuffed,2,2,0,new,desc,"Stuffed bag drop with soft material texture and dull weight. Body Fall, Fabric, Textile.",Stuffed bag fling with dense cloth shuffle and solid end.,
halted,2,2,0,old,desc,Medium length tail breaks into bubbles and suddenly is halted with no reverberation.,Short tail breaks into bubbles and suddenly is halted with no reverberation.,
phases,2,2,0,new,desc,Warped breeze shifting phases with temporal distortion.,"Sharp, striking bell sound with modulating phases.",
unearth,2,2,0,mid,desc,"Large creature moves to and fro chaotically, causing ripples and rocks to unearth from slope.","Rocks slowly unearth slowly roll down slope, with stretchy whoosh and impact with ground.",
encoded,2,2,0,mid,desc,"Low level communication, encoded susurration.","Binary interceptions, encoded communication.",
unnerving,2,1,1,mid,both,ATMOSPHERE CONTINUOUS SEQUENCE LOW Voices panning. Unnerving rumble. Constant movement. Alien conversation.,,
fastly,2,2,0,old,desc,"Short fat flame whoosh, fastly swinging a torch. Small initial whoosh followed by a larger one. Close perspective","Short fat flame whoosh, fastly swinging a torch. Close perspective",
railway,2,1,1,old,both,"Metal railway track hit, producing piercing clank.",,
definition,2,2,0,new,desc,"Big, concentrated surge of resonant energy with sharp definition.","Sharp whoosh with clean, cutting definition.",
radiance,2,1,1,new,both,"Long, ethereal vocalization with airy harmonics and magical radiance.",,
abrasion,2,2,0,new,desc,"Shiny abrasion, polished scratches.",Slow textured canvas abrasion with focused tonal rasp.,
telephone,2,1,1,old,both,Plastic telephone fidgeted.,,
steep,2,2,0,mid,desc,Wobbly discharge followed by steep fall to low pitch.,Muddled crashing of paper with a steep attack and slapback.,
ripply,2,2,0,old,desc,"Ripply laser fired, moving quickly through short amount of space space. No tail.",Muffled gunshots. Ripply or with no decay. Number of shots varies.,
emulating,2,2,0,new,desc,Punch noise emulating the sweeping force of a roundhouse kick.,Punch noise emulating a back smack.,
classical,2,2,0,mid,desc,"Harsh noise from violin bow on lever arch file, similar to extended techniques in classical music.","Hiss, and light screeches of violin bow on lever arch file, similar to extended techniques in classical music but on a cello.",
dangerous,2,1,1,mid,both,"Dangerous liquid, lethal content.",,
placing,2,2,0,mid,desc,SKATING RAMP START Skater placing the board on a quarter ramp.,Placing a generic tool in a toolbox.,
timing,2,2,0,new,desc,"Loose, flowing punch with unpredictable timing and soft body slaps.","Wide body sweep with layered cloth, hard slam, and classic martial arts timing.",
appliance,2,1,1,old,both,"Kitchen appliance turned on, left on for a while and turned off. Loses bassiness each time, then bassiness reappears.",,
melted,2,1,1,mid,both,"Melted wax mixed with water burning. Heavy sizzling, many bursts.",,
sewer,2,1,1,new,both,"Metallic, watery percussion texture with sewer type reverb.",,
powdered,2,2,0,old,desc,"Powdered zinc, ammonium nitrate and ammonium chloride combust when water is added. Initial hiss and thick, medium fast burning.","Heated Potassium Chlorate and powdered sugar reacting with sulfuric acid. Fast burning, thick flame.",
pashing,2,2,0,mid,desc,Quick and bassy whooshing with additional sweeping and pashing elements on top.,Slow and bassy whooshing with additional sweeping and pashing elements on top.,
restrained,2,2,0,new,desc,"Short, clean zap with a restrained, fabric like movement.",Steady whoosh with soft folds and restrained motion.,
depths,2,2,0,mid,desc,Small bubbles rise continuously from the depths. Airy with light clunks.,"Bubbles rising from the depths, traveling through pipe, creating ripple in water.",
moon,2,1,1,mid,both,"Cosmic tide, moon beach.",,
instantly,2,2,0,old,desc,"Magnesium silicide reacts with hydrochloric acid, producing magnesium chloride and silane, which instantly combusts. Short, crackling burns, high.","Magnesium silicide reacts with hydrochloric acid, producing magnesium chloride and silane, which instantly combusts. Short, crackling burns, low.",
charges,2,1,1,mid,both,"RECHARGE MEDIUM Infrared charges, producing thin high pitch with some clicks and crystalized warble in the end.",,
strainer,2,1,1,new,both,Jolt with metal strainer bubble effect.,,
blocks,2,1,1,new,both,"Movement of wooden objects, such as small blocks or pieces of furniture, colliding or being manipulated in a double clicking manner.",,
extinguished,2,2,0,old,desc,"Pouring water into flames. Bursts, sizzling and hissing as fire is extinguished.",IMPACT SMALL HIGH Resonant burst. Sucked in. Closing. Extinguished.,
tossed,2,2,0,new,desc,Metallic clinks and doubling of the reverberation as the coin is being tossed.,Metallic clinks and tripling of the reverberation as the coin is being tossed.,
chilling,2,2,0,new,desc,Chilling sweep gliding sharply with frozen clarity and glide.,"Chilling cast rolling out in icy, crystalline cadence.",
span,2,2,0,old,desc,Remote control car turned on and off quickly. Back wheels speed up and slow down in short span of time.,Remote control car turned on and off quickly. Front wheels speed up and slow down in short span of time.,
occurs,2,2,0,old,desc,Laser pulse fired. Pulse occurs shortly after click of laser.,Hair cutter powered on and off. Rumble occurs at varying speeds.,
sauce,2,1,1,mid,both,Chicken sauce leaked continuously out with breathing of animal.,,
started,2,2,0,mid,desc,Remote control car started and stopped for various lengths. Hissy rumble.,"Whoosh takes a long time to get started, with large mass of rocks falling down slope.",
frenzy,2,1,1,old,both,FRAGMENTS CONTINUOUS SEQUENCE RAPID Frenzy of shooting beams over constant bubbling texture.,,
brute,2,2,0,new,desc,"Dense, crushing grip loaded with brute force. Metal-like tension and firm contact.","Chaotic, multi textured impact layered with brute force and echoing tail.",
automated,2,2,0,mid,desc,"Automated missile, smart torpedo.","Automated device, fast electricity charger.",
dial,2,1,1,mid,both,METAL COMPLEX MECHANISM TINY Spring release impact followed by dial like rattling action. Clattering upon end.,,
limbs,2,2,0,new,desc,Surface of ocean floor struck by limbs of underwater animal.,Scrappy and raw with loose limbs and gritty momentum.,
splattery,2,2,0,mid,desc,FM hits of splattery delay and filtering with short tails and spectral sounds.,"Crunchy, vocoded, splattery impacts with fast decay.",
book's,2,2,0,new,desc,"Firm pressing together of the book's pages and cover, resulting in a weighty thud.","Rapid flick motion and impact of a large book's pages, resulting in a crisp thud.",
version,2,2,0,new,desc,Smoother version of alcohol flame growl with subdued tonal edges.,Alt version with thick impact and leathery character.,
elevated,2,2,0,new,desc,Tonal noise with an elevated sweep.,Sharp brass hit with elevated pitch and shimmering tail.,
chords,2,2,0,old,desc,"Mixed choir, forte. """"Aaah"""" sounds, chords.",TOY MUSIC BOX TONAL Winding up a music box. Different chords.,
technology,2,2,0,new,desc,Futuristic and friendly tonal essence reminiscent of sounds associated with androids or advanced technology.,"High technology beam, cosmic emission.",
spooling,2,2,0,unknown,desc,"METAL COMPLEX MECHANISM TINY Initially clicking, shortly spooling, then cranking and rattling. Winding and clasping.","METAL COMPLEX MECHANISM TINY Initially clicking, very shortly spooling, then cranking. Some clasping.",
meow,2,2,0,old,desc,"Short low pitch synthetic sound, with fall in pitch during decay and sometimes faint meow of cat.","Synthetic utterance similar to """"Wow!"""" or meow of cat.",
